state,pct_of_electors
Alabama,1.67
Alaska,0.56
Arizona,2.04
Arkansas,1.12
California,10.22
Colorado,1.67
Connecticut,1.3
Delaware,0.56
District of Columbia,0.56
Florida,5.39
Georgia,2.97
Hawaii,0.74
Idaho,0.74
Illinois,3.72
Indiana,2.04
Iowa,1.12
Kansas,1.12
Kentucky,1.49
Louisiana,1.49
Maine,0.74
Maryland,1.86
Massachusetts,2.04
Michigan,2.97
Minnesota,1.86
Mississippi,1.12
Missouri,1.86
Montana,0.56
Nebraska,0.93
Nevada,1.12
New Hampshire,0.74
New Jersey,2.6
New Mexico,0.93
New York,5.39
North Carolina,2.79
North Dakota,0.56
Ohio,3.35
Oklahoma,1.3
Oregon,1.3
Pennsylvania,3.72
Rhode Island,0.74
South Carolina,1.67
South Dakota,0.56
Tennessee,2.04
Texas,7.06
Utah,1.12
Vermont,0.56
Virginia,2.42
Washington,2.23
West Virginia,0.93
Wisconsin,1.86
Wyoming,0.56
